T_kelvin,T_celsius,V1_exp,V1_fit,V1_resid,V2_exp,V2_fit,V2_resid,V3_exp,V3_fit,V3_resid
293.15,20.0,-221.5947762680182,-221.44498274528843,-0.14979352272976598,1.7514196505076116,1.9466480781979032,-0.19522842769029158,7.023956249623377,7.064864346625519,-0.04090809700214226
295.15,22.0,-221.0748142908033,-221.4392606894592,0.36444639865590034,2.1077149033857836,1.9465185031213603,0.16119640026442328,5.513370063713949,7.06460070267813,-1.5512306389641815
297.15,24.0,-221.18916494638856,-221.43167256978225,0.24250762339369203,2.1947434262438357,1.9463466711632782,0.24839675508055747,5.003389321435362,7.064251079861114,-2.0608617584257516
299.15,26.0,-220.59756597788777,-221.42164895491874,0.8240829770309688,1.7712375434230918,1.9461196873736026,-0.17488214395051083,5.402136042452465,7.06378924176961,-1.6616531993171453
301.15,28.0,-220.8135389929384,-221.40845867189583,0.5949196789574387,2.1344489266917663,1.9458209938093514,0.18862793288241497,4.9028100223467295,7.063181499984599,-2.1603714776378693
303.15,30.0,-222.19126158262856,-221.39116635081737,-0.8000952318111842,1.4736880368930372,1.9454294076348368,-0.47174137074179967,4.242056480916403,7.062384758262121,-2.820328277345718
305.15,32.0,-221.51287999687943,-221.36857978690722,-0.14430020997221504,1.7031519272167934,1.944917927987796,-0.24176600077100252,4.055870325096648,7.061344087963958,-3.00547376286731
307.15,34.0,-222.2136604125328,-221.33918493373673,-0.8744754787960574,1.3961695047362637,1.9442522613048463,-0.5480827565685826,3.5935627820198808,7.0599897345069005,-3.4664269524870197
309.15,36.0,-221.68603707033137,-221.3010659377446,-0.3849711325867702,0.5816908581333827,1.9433890047036413,-1.3616981465702587,2.2483038977300613,7.058233436604879,-4.809929538874817
311.15,38.0,-222.3587026413726,-221.25180715802358,-1.1068954833490068,1.139475609831282,1.9422734144184302,-0.8027978045871482,2.192750033301794,7.055963919887107,-4.863213886585314
313.15,40.0,-221.17551977063857,-221.18837357123363,0.012853800595053144,0.6484552437959068,1.9408366696249646,-1.2923814258290578,0.9702353853732932,7.053041404134145,-6.082806018760852
315.15,42.0,-221.1625432370652,-221.10696530657566,-0.055577930489533856,0.4600318375647006,1.9389925180517913,-1.4789606804870907,0.7190474042259475,7.049290938925734,-6.330243534699786
317.15,44.0,-221.2323828142267,-221.00284121801525,-0.22954159621144754,1.8590205933727977,1.9366331518899416,-0.07761255851714388,1.2751922397412352,7.044494355789551,-5.7693021160483156
319.15,46.0,-221.30750829593455,-220.87010522358165,-0.43740307235290743,1.1273481716148113,1.9336240969892433,-0.806275925374432,0.2006284442156194,7.038380595131711,-6.837752150916092
321.15,48.0,-220.46719865873817,-220.70144729119343,0.2342486324552624,0.7094439171507969,1.9297977774223454,-1.2203538602715485,0.5738979456324281,7.030614130656569,-6.456716185024141
323.15,50.0,-220.41987556958705,-220.48782773736627,0.06795216777922519,0.0681509108417354,1.9249451858230207,-1.8567942749812854,-0.4559119777293225,7.020781165873578,-7.476693143602901
325.15,52.0,-219.307236743736,-220.21808753986855,0.9108507961325358,0.1668019029109194,1.9188046385905122,-1.7520027356795929,-0.9596856841770274,7.008373201300732,-7.96805888547776
327.15,54.0,-218.80868944687876,-219.8784559183763,1.0697664714975303,0.5800008556881321,1.9110457133889573,-1.3310448577008254,-1.203282228584831,6.9927674349791475,-8.19604966356398
329.15,56.0,-218.7601964329496,-219.45190427583518,0.6917078428855632,1.0764943199449328,1.901244753063046,-0.8247504331181132,-2.341263727133628,6.97320319966189,-9.314466926795518
331.15,58.0,-217.85109230813427,-218.9172529323699,1.0661606242356356,1.0718055842942205,1.8888450238281353,-0.8170394395339149,-1.7524105521320408,6.948753139797729,-8.70116369192977
333.15,60.0,-217.25482118902767,-218.24785611288894,0.9930349238612735,0.8855486812446486,1.873088356625045,-0.9875396753803963,-2.236204394089888,6.91828688362167,-9.154491277711559
335.15,62.0,-216.33477792169916,-217.40953998356915,1.0747620618699898,0.7176505224651711,1.8528934039041889,-1.1352428814390176,-2.053468615880907,6.880423233644502,-8.93389184952541
337.15,64.0,-215.51035289464903,-216.35719522557073,0.846842330921703,0.4672221007564304,1.826634210270237,-1.3594121095138068,-2.3844107133744754,6.833463892952777,-9.217874606327252
339.15,66.0,-214.56517942826332,-215.02894631999217,0.4637668917288522,0.7238819999467718,1.791734520641666,-1.0678525206948941,-4.669173399551904,6.7752969039015465,-11.44447030345345
341.15,68.0,-214.33401812222192,-213.33601971951663,-0.9979984027052922,0.6882783921739174,1.7439274478494406,-1.0556490556755231,-3.5613569106253085,6.703251103159463,-10.264608013784772
343.15,70.0,-212.41992908949933,-211.1452060238822,-1.2747230656171382,0.5121829870787553,1.6759240170581884,-1.163741029979433,-3.064793996265581,6.6138756106963275,-9.678669606961908
345.15,72.0,-209.89860552054645,-208.24924146332316,-1.6493640572232948,-0.0434883733676053,1.5750838442658557,-1.618572217633461,-4.401612130240687,6.50261817789624,-10.904230308136928
347.15,74.0,-206.45852826115828,-204.31940560992152,-2.139122651236761,-0.1877227148121419,1.4195342511054398,-1.6072569659175817,-4.339950119631954,6.363406605590233,-10.703356725222188
349.15,76.0,-201.62622655600524,-198.83751588485387,-2.788710671151364,-1.06319561707376,1.172267981027823,-2.2354635981015827,-3.4950900027951115,6.188258633572991,-9.683348636368102
351.15,78.0,-193.16426929895263,-191.02077055112255,-2.1434987478300798,-1.5047956006341143,0.7737781721034849,-2.278573772737599,-4.966770695135502,5.967380332902175,-10.934151028037677
353.15,80.0,-179.85039066138367,-179.80167833067233,-0.04871233071133929,-2.3309873158022314,0.13737304368806835,-2.4683603594903,-3.605782704451894,5.690901921514147,-9.29668462596604
355.15,82.0,-162.59222178379005,-164.02055909158616,1.428337307796113,-4.275499734007026,-0.8408158258349084,-3.434683908172117,-4.188773586835039,5.354194777363666,-9.542968364198703
357.15,84.0,-141.59841158164414,-143.05203530089295,1.4536237192488102,-4.7164146088258425,-2.2375380384814503,-2.4788765703443922,-2.183406273974824,4.96780318102263,-7.151209454997454
359.15,86.0,-117.62826584997734,-117.81068402155312,0.182418171575776,-6.580578497531683,-4.0208604721968575,-2.559718025334825,-2.372222452842015,4.566808916643696,-6.939031369485711
361.15,88.0,-92.67215377230704,-91.25810293448913,-1.4140508378179106,-8.152166275930023,-5.993028332154317,-2.159137943775706,-1.4713586289429976,4.205483188281291,-5.676841817224289
363.15,90.0,-68.33908654814499,-67.27545721111844,-1.0636293370265548,-9.3163691735479,-7.856346851123613,-1.4600223224242868,-0.2679882642321573,3.930713770736443,-4.1987020349686
365.15,92.0,-49.5742693234127,-48.542374744961194,-1.0318945784515066,-10.716363838549514,-9.376154124751361,-1.3402097137981528,-0.0486309630515149,3.756555687096972,-3.8051866501484866
367.15,94.0,-36.1365063897746,-35.54771803842133,-0.5887883513532728,-10.797889983270773,-10.477902816783503,-0.31998716648726955,1.680479883379749,3.665615611896942,-1.9851357285171929
369.15,96.0,-27.257328714547143,-27.27097379442105,0.013645079873906951,-11.619951763476058,-11.21332388487798,-0.40662787859807814,3.435166027589699,3.62887208610723,-0.19370605851753098
371.15,98.0,-20.087625228971348,-22.28357144578517,2.195946216813823,-11.768900925457404,-11.679786783233283,-0.08911414222412084,3.334831991629493,3.621391398528452,-0.286559406898959
373.15,100.0,-15.537055997772068,-19.37660901866501,3.839553020892943,-12.40285415938898,-11.967597279147835,-0.43525688024114473,3.688583666852769,3.627047201609775,0.061536465242994165
